35491 11 19
35492 10 19
35493 9 19
35494 8 19
35495 7 19
35496 6 19
35497 5 19
35498 4 19
35499 3 19
35500 2 19
35501 1 19
35502 0 19
35503 11 18
35504 10 18
35505 9 18
35506 8 18
35507 7 18
35508 6 18
35509 5 18
35510 4 18
35511 3 18
35512 2 18
35513 1 18
35514 0 18
35515 11 17
35516 10 17
35517 9 17
35518 8 17
35519 7 17
35520 6 17
35521 5 17
35522 4 17
35523 3 17
35524 2 17
35525 1 17
35526 0 17
35527 11 16
35528 10 16
35529 9 16
35530 8 16
35531 7 16
35532 6 16
35533 5 16
35534 4 16
35535 3 16
35536 2 16
35537 1 16
35538 0 16
35539 11 15
35540 10 15
35541 9 15
35542 8 15
35543 7 15
35544 6 15
35545 5 15
35546 4 15
35547 3 15
35548 2 15
35549 1 15
35550 0 15
35551 11 14
35552 10 14
35553 9 14
35554 8 14
35555 7 14
35556 6 14
35557 5 14
35558 4 14
35559 3 14
35560 2 14
35561 1 14
35562 0 14
35563 11 13
35564 10 13
35565 9 13
35566 8 13
35567 7 13
35568 6 13
35569 5 13
35570 4 13
35571 3 13
35572 2 13
35573 1 13
35574 0 13
